Age,Gender,Shirt Color
56,Male,Black
46,Female,White
32,Female,White
25,Female,Red
38,Male,Black
56,Female,Blue
36,Male,Blue
40,Male,Red
28,Female,Red
28,Female,Black
41,Male,Blue
53,Male,Blue
57,Female,Blue
41,Female,White
20,Female,Blue
39,Male,White
19,Male,Black
41,Male,White
47,Male,Black
55,Male,Blue
19,Male,Blue
38,Female,Black
50,Male,Red
29,Male,Black
39,Male,Red
42,Female,White
44,Male,White
59,Male,White
45,Female,Blue
33,Male,White
32,Male,Red
20,Male,White
54,Male,Black
24,Male,Black
38,Female,Blue
26,Female,Black
56,Female,Red
35,Male,White
21,Male,Blue
42,Male,White
31,Female,White
26,Male,Red
43,Male,Black
19,Female,Black
37,Male,White
45,Female,Blue
24,Female,Black
25,Female,Blue
52,Male,Black
31,Male,Blue
34,Male,Red
53,Male,Blue
57,Male,Red
21,Male,Red
19,Male,Blue
23,Female,Red
59,Male,White
21,Female,Red
46,Male,Black
35,Male,Blue
43,Male,White
51,Female,Blue
27,Female,Black
53,Female,Black
31,Female,Black
48,Male,Red
32,Female,Red
25,Male,Blue
31,Male,Blue
40,Female,White
57,Female,White
38,Female,Blue
33,Female,Red
35,Female,Black
41,Female,Blue
43,Female,White
42,Female,Red
58,Male,Blue
46,Female,Blue
32,Female,Red
18,Male,Blue
42,Female,Red
24,Male,Black
26,Male,Red
41,Female,Red
18,Male,Red
25,Male,Blue
41,Male,Blue
28,Male,Red
34,Female,Blue
25,Male,White
52,Female,White
52,Male,Blue
50,Male,Blue
22,Male,Red
59,Male,Black
56,Female,Blue
58,Female,White
45,Male,Red
24,Male,Blue
